,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2367,24265104,Room for solo traveler near midway airport.,119865253,Erica,,West Lawn,41.77735,-87.71957,Private room,29,1,101,2020-04-20,3.74,3,359
5170,41054645,Cozy room with big window (Right by red line),296208054,Ferdousi,,Near North Side,41.89645,-87.62889,Private room,80,1,1,2020-01-18,0.12,3,0
5807,43433377,Cozy Private Bedroom in Chicago,110356889,Shanasha,,Grand Boulevard,41.81519,-87.6151,Private room,30,2,0,,,1,78
2849,27695844,Catch a game at Wrigley,47263109,Matt,,Lake View,41.94436,-87.64311,Private room,91,1,67,2020-07-10,2.7,3,84
180,2189522,Casa Corazón (E) near Rush / UIC,1559157,Amanda,,Lower West Side,41.84828,-87.68021,Private room,70,2,139,2020-02-16,1.76,3,361
147,1648786,Quiet Rooms2 in Quiet Neighborhood,1426804,Afri,,Chatham,41.72836,-87.6136,Private room,32,2,84,2020-03-14,0.98,1,264
4964,40201619,Metra(♥)Mins to DTWN UnivChicago McCormickPlace,47056445,Andy,,South Shore,41.76216,-87.58594,Private room,27,1,7,2020-04-27,0.71,7,257
2711,26784095,Lincoln Park Shared Housing for Fun,44618537,Robert,,Lincoln Park,41.9295,-87.64359,Shared room,60,1,26,2019-10-13,0.97,4,365
2025,21660202,BEST LOCATION EVER!WRIGLEY - BOYSTOWN - LAKEVIEW 3,154630260,Ody,,Lake View,41.94466,-87.64937,Shared room,64,1,2,2017-11-26,0.06,18,0
2039,21679688,LOCATION!LAKEVIEW SUPER BASE -WRIGLEY -BOYSTOWN 3,154630260,Ody,,Lake View,41.93884,-87.65232,Shared room,59,1,3,2018-01-01,0.09,18,0
1355,16053938,Adventurer's Paradise-Shared,103436607,Rose,,Loop,41.88263,-87.62402,Shared room,55,2,34,2020-02-16,0.92,1,0
2039,21679688,LOCATION!LAKEVIEW SUPER BASE -WRIGLEY -BOYSTOWN 3,154630260,Ody,,Lake View,41.93884,-87.65232,Shared room,59,1,3,2018-01-01,0.09,18,0
5211,41275135,"That ganja friendly pitstop in chicago, remember?",324164061,Juan,,South Lawndale,41.83892,-87.70693,Shared room,25,1,0,,,1,83
2026,21660918,LOCATION! LOCATION!WRIGLEY - BOYSTOWN - LAKEVIEW 2,154630260,Ody,,Lake View,41.94528,-87.65205,Shared room,39,1,2,2017-12-28,0.06,18,0
2943,28253638,North Center/Roscoe Village Single Family Home,8330730,Ed,,North Center,41.94737,-87.68984,Shared room,250,2,1,2018-09-16,0.04,1,88
1946,21231053,BemaniHouse Chicago,111137433,Dennis,,Humboldt Park,41.90416,-87.71018,Shared room,20,1,0,,,1,0
2686,26629261,B. MANSION SHARED BEDROOM 4-BED B_TOP BUNK,163484540,Francineuma Vitoriano Dos Santos,,Calumet Heights,41.72945,-87.57811,Shared room,14,1,50,2020-09-04,1.87,12,353
2162,22598312,Close to USMLE & Medical Ctr. 7 min to O'Hare!,2456789,Mary,,Norwood Park,41.98294,-87.8196,Shared room,44,7,156,2020-03-27,4.9,4,364
6009,44175548,Chicago uptown,344404176,Amyn,,Edgewater,41.98142,-87.66587,Shared room,50,1,0,,,2,365
1914,21062555,Comfy couch -Steps from Public Transit/Divvy,5363019,Jessica,,Lincoln Park,41.93142,-87.66837,Shared room,21,1,1,2017-10-09,0.03,2,0
2162,22598312,Close to USMLE & Medical Ctr. 7 min to O'Hare!,2456789,Mary,,Norwood Park,41.98294,-87.8196,Shared room,44,7,156,2020-03-27,4.9,4,364
3700,34137266,Shared space south shore Bungalo.,28501460,Delia,,South Shore,41.76307,-87.57319,Shared room,20,3,12,2020-08-15,0.75,7,338
2686,26629261,B. MANSION SHARED BEDROOM 4-BED B_TOP BUNK,163484540,Francineuma Vitoriano Dos Santos,,Calumet Heights,41.72945,-87.57811,Shared room,14,1,50,2020-09-04,1.87,12,353
2598,25973971,D. MANSION SHARED BEDROOM BED_D TOP BUNK,163484540,Francineuma Vitoriano Dos Santos,,Calumet Heights,41.72839,-87.57875,Shared room,13,1,59,2020-08-31,2.13,12,325
2225,23123158,03b.  Twin in Coed Space - 3 mi to NWU,2907254,Joe,,West Ridge,42.01653,-87.68778,Shared room,21,1,27,2020-07-02,0.99,8,0
2036,21678923,LOCATION!LAKEVIEW SUPER BASE -WRIGLEY - BOYSTOWN 6,154630260,Ody,,Lake View,41.94651,-87.65011,Shared room,110,1,1,2017-11-12,0.03,18,0
4414,38131350,KINGSTOWER minisuits #4,35558926,Tory,,Washington Park,41.78691,-87.62221,Shared room,100,1,1,2019-09-01,0.08,4,365
2599,25977595,"Cozy Cot 2720 
NOT A PRIVATE ROOM",36128270,Juanita,,North Lawndale,41.85799,-87.69454,Shared room,15,1,110,2020-09-11,4.05,8,360
2039,21679688,LOCATION!LAKEVIEW SUPER BASE -WRIGLEY -BOYSTOWN 3,154630260,Ody,,Lake View,41.93884,-87.65232,Shared room,59,1,3,2018-01-01,0.09,18,0
1355,16053938,Adventurer's Paradise-Shared,103436607,Rose,,Loop,41.88263,-87.62402,Shared room,55,2,34,2020-02-16,0.92,1,0
1260,15379201,Comfy house in the northwest.,11949514,Onelia,,Belmont Cragin,41.93721,-87.77854,Shared room,57,1,20,2019-08-05,0.42,1,179
779,9679005,Logan Square-Butterfly- bed 1,36300208,Maria,,Avondale,41.93287,-87.72969,Shared room,30,2,11,2018-08-06,0.19,9,280
4202,37010824,Hurricane Dorian Hostel Crash Pad!,44618537,Robert,,Lincoln Park,41.93005,-87.64557,Shared room,64,1,2,2019-08-11,0.14,4,90
3165,29757889,Humble Abode,96225987,Marc,,Greater Grand Crossing,41.76489,-87.63109,Shared room,80,32,1,2019-07-18,0.07,2,358
1662,19243410,Wrigley Field Grand Slam,126136948,Mark,,Lake View,41.94662,-87.65556,Shared room,300,2,4,2017-09-10,0.11,1,83
4103,36452514,United Center Living Room,45735396,Emrah,,Near West Side,41.88074,-87.68164,Shared room,10,1,2,2020-08-28,0.49,4,324
133,1475647,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,21,1,99,2020-08-30,1.14,8,153
6282,45267938,Welcome Home,365764996,Zandra,,Lower West Side,41.85002,-87.67834,Shared room,32,5,0,,,2,237
5892,43805412,Chicago Hostel Vibes,152478905,Zac,,Logan Square,41.92166,-87.70396,Shared room,29,1,0,,,2,31
2031,21667691,BEST LOCATION EVER!WRIGLEY - BOYSTOWN - LAKEVIEW 1,154630260,Ody,,Lake View,41.94666,-87.6493,Shared room,23,1,11,2018-01-01,0.32,18,0
2598,25973971,D. MANSION SHARED BEDROOM BED_D TOP BUNK,163484540,Francineuma Vitoriano Dos Santos,,Calumet Heights,41.72839,-87.57875,Shared room,13,1,59,2020-08-31,2.13,12,325
2038,21679500,LOCATION!LAKEVIEW SUPER BASE -WRIGLEY - BOYSTOWN 4,154630260,Ody,,Lake View,41.94559,-87.64933,Shared room,86,1,1,2017-12-03,0.03,18,0
6009,44175548,Chicago uptown,344404176,Amyn,,Edgewater,41.98142,-87.66587,Shared room,50,1,0,,,2,365
2711,26784095,Lincoln Park Shared Housing for Fun,44618537,Robert,,Lincoln Park,41.9295,-87.64359,Shared room,60,1,26,2019-10-13,0.97,4,365
5892,43805412,Chicago Hostel Vibes,152478905,Zac,,Logan Square,41.92166,-87.70396,Shared room,29,1,0,,,2,31
667,8273329,Second bed (twin) in a private room,41690970,Hana,,Rogers Park,42.00666,-87.67224,Shared room,43,7,4,2018-09-18,0.08,2,180
2599,25977595,"Cozy Cot 2720 
NOT A PRIVATE ROOM",36128270,Juanita,,North Lawndale,41.85799,-87.69454,Shared room,15,1,110,2020-09-11,4.05,8,360
619,7735577,Logan Square-Buddy Room - Bed 1,36300208,Maria,,Avondale,41.93496,-87.72842,Shared room,30,3,10,2019-05-16,0.16,9,263
1674,19414085,"Bright, Spacious SANITIZED Flat w/Outdoor Porch",209564,Ami,,Lake View,41.9454,-87.65478,Shared room,159,2,102,2020-08-09,2.59,4,56
4243,37201923,Comfy full-sized bed in living room area,48093605,Jeremiah,,Humboldt Park,41.89967,-87.70762,Shared room,41,1,6,2020-03-16,0.48,2,365
2162,22598312,Close to USMLE & Medical Ctr. 7 min to O'Hare!,2456789,Mary,,Norwood Park,41.98294,-87.8196,Shared room,44,7,156,2020-03-27,4.9,4,364
3700,34137266,Shared space south shore Bungalo.,28501460,Delia,,South Shore,41.76307,-87.57319,Shared room,20,3,12,2020-08-15,0.75,7,338
344,4365466,01a. Full bed in Coed Space - 3 mi from NWU,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,22,1,96,2020-08-05,1.33,8,180
3805,34722434,Lcouch/floorMattressNliving room43rdGreenLineTrain,42524732,Kay,,Grand Boulevard,41.8152,-87.62146,Shared room,29,1,3,2019-08-05,0.19,11,365
6009,44175548,Chicago uptown,344404176,Amyn,,Edgewater,41.98142,-87.66587,Shared room,50,1,0,,,2,365
3805,34722434,Lcouch/floorMattressNliving room43rdGreenLineTrain,42524732,Kay,,Grand Boulevard,41.8152,-87.62146,Shared room,29,1,3,2019-08-05,0.19,11,365
2225,23123158,03b.  Twin in Coed Space - 3 mi to NWU,2907254,Joe,,West Ridge,42.01653,-87.68778,Shared room,21,1,27,2020-07-02,0.99,8,0
2488,25093538,shared room (b) 2nd bed of 2 (K2),36549783,Jeffrey,,Irving Park,41.96348,-87.73419,Shared room,44,2,6,2020-04-07,0.23,12,180
2596,25971516,C. MANSION SHARED BEDROOM 4-BED C_BOTTOM BUNK,163484540,Francineuma Vitoriano Dos Santos,,Calumet Heights,41.72933,-87.57679,Shared room,15,7,54,2020-09-08,1.98,12,344
812,10278470,Logan Square-Butterfly- bed 2,36300208,Maria,,Avondale,41.93405,-87.72993,Shared room,30,4,5,2019-10-14,0.1,9,263
4561,38707430,WC1 GREAT VALUE PRIME LOCATION COMFY BED,260377596,William,,Bridgeport,41.84005,-87.64923,Shared room,15,2,7,2020-01-14,0.58,1,153
133,1475647,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,21,1,99,2020-08-30,1.14,8,153
2044,21694897,LOCATION!LAKEVIEW SUPER BASE -WRIGLEY - BOYSTOWN 3,154630260,Ody,,Lake View,41.94513,-87.64918,Shared room,69,1,1,2017-11-19,0.03,18,0
56,479086,Hostel Earphoria,337459,Earphoria,,Avondale,41.93245,-87.71528,Shared room,25,1,180,2020-03-08,1.77,2,0
2965,28404889,Cozy Living Room at Chicago West Loop,79035154,Xiaolin,,Near West Side,41.88221,-87.64401,Shared room,30,240,0,,,1,173
1914,21062555,Comfy couch -Steps from Public Transit/Divvy,5363019,Jessica,,Lincoln Park,41.93142,-87.66837,Shared room,21,1,1,2017-10-09,0.03,2,0
3651,33719692,G. MANSION SHARED BEDROOM G_BOTTOM BUNK BED,163484540,Francineuma Vitoriano Dos Santos,,Calumet Heights,41.72948,-87.57719,Shared room,15,14,22,2020-08-16,1.27,12,340
1211,15042311,COMFY SINGLE in Shared Room #3!,41676630,Pete,,West Town,41.90701,-87.68935,Shared room,39,1,95,2020-07-08,1.97,2,10
984,12805646,2pulloutsofas n PrivateLivingRoom,42524732,Kay,,Grand Boulevard,41.81441,-87.6201,Shared room,29,1,12,2019-10-24,0.23,11,365
4928,40029774,TBCC -The BIG COMFY COUCH,6452801,Idris,,Greater Grand Crossing,41.76696,-87.63211,Shared room,25,2,2,2020-07-12,0.28,2,356
2044,21694897,LOCATION!LAKEVIEW SUPER BASE -WRIGLEY - BOYSTOWN 3,154630260,Ody,,Lake View,41.94513,-87.64918,Shared room,69,1,1,2017-11-19,0.03,18,0
